Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2020-03-12,77.75,81.65,75.8,76.45,,428846.0,33545984.85,,,
2020-03-11,87.6,88.45,83.85,84.3,,250339.0,21276696.5,,,
2020-03-10,88.25,90.3,86.0,86.8,,324702.0,28663267.75,,,
2020-03-09,87.65,92.15,85.1,87.2,,392049.0,34832184.95,,,
2020-03-06,95.0,95.1,91.9,94.15,,211996.0,19868077.2,,,
2020-03-05,101.3,102.6,96.35,97.2,,230406.0,22585334.7,,,
2020-03-04,98.3,100.5,97.55,100.1,,251085.0,24993655.35,,,
2020-03-03,97.1,99.9,95.55,98.05,,435677.0,42953287.0,,,
2020-03-02,96.5,98.3,93.55,95.05,,285867.0,27318381.65,,,
2020-02-28,90.05,94.75,89.65,94.75,,468539.0,43691138.55,,,
2020-02-27,97.95,98.3,93.75,95.05,,253380.0,24293170.5,,,
2020-02-26,98.5,100.8,96.35,100.2,,371150.0,36784605.3,,,
2020-02-25,105.6,106.4,100.6,101.2,,250020.0,25613306.6,,,
2020-02-24,104.0,105.5,102.2,104.7,,211543.0,22050204.4,,,
2020-02-21,110.1,110.2,107.7,108.2,,119055.0,12948891.0,,,
2020-02-20,111.3,112.8,109.9,110.4,,139229.0,15421757.0,,,
2020-02-19,110.3,112.4,109.5,111.2,,138008.0,15341487.0,,,
2020-02-18,107.2,109.8,107.0,109.6,,111209.0,12136682.0,,,
2020-02-17,108.9,109.1,107.6,108.8,,71884.0,7784747.5,,,
2020-02-14,109.2,110.1,108.2,108.9,,127710.0,13932329.0,,,
2020-02-13,110.0,111.0,107.6,109.5,,175311.0,19094774.0,,,
2020-02-12,112.4,112.4,109.7,110.0,,153713.0,16973868.0,,,
2020-02-11,110.1,113.6,109.3,112.2,,266600.0,29766104.0,,,
2020-02-10,114.0,121.1,107.0,109.4,,449853.0,50064696.0,,,
2020-02-07,116.4,117.4,114.1,114.9,,158446.0,18250740.0,,,
2020-02-06,117.0,117.2,114.7,116.4,,98097.0,11377620.0,,,
2020-02-05,116.4,117.0,115.8,116.1,,141363.0,16440834.0,,,
2020-02-04,112.1,115.7,111.7,115.0,,214584.0,24603160.0,,,
2020-02-03,110.0,112.0,109.3,111.4,,231387.0,25691706.0,,,
2020-01-31,112.5,113.7,110.1,110.5,,257830.0,28708798.0,,,
2020-01-30,116.8,118.0,112.8,113.3,,198663.0,22749126.0,,,
2020-01-29,118.3,118.8,117.4,117.7,,88563.0,10438738.0,,,
2020-01-28,118.8,119.6,115.2,118.1,,134333.0,15754191.0,,,
2020-01-27,119.6,119.7,117.9,118.0,,110778.0,13126700.0,,,
2020-01-24,119.5,120.7,118.6,120.2,,102713.0,12323204.0,,,
2020-01-23,120.2,120.9,118.8,118.8,,92012.0,11007938.0,,,
2020-01-22,120.2,121.1,119.2,119.7,,74016.0,8885031.0,,,
2020-01-21,121.4,121.4,118.9,119.6,,98600.0,11805317.0,,,
2020-01-20,121.2,122.1,120.7,121.4,,63664.0,7721389.5,,,
2020-01-17,119.9,121.1,119.3,120.8,,63663.0,7671528.0,,,
2020-01-16,120.4,120.8,119.0,119.2,,66065.0,7893356.5,,,
2020-01-15,119.5,120.7,119.1,120.0,,111393.0,13370345.0,,,
2020-01-14,117.6,119.5,116.7,119.3,,105126.0,12492392.0,,,
2020-01-13,118.0,118.9,117.0,117.2,,84067.0,9891618.0,,,
2020-01-10,119.6,120.4,117.3,117.5,,102423.0,12098654.0,,,
2020-01-09,118.4,119.8,117.5,119.2,,134426.0,15973124.0,,,
2020-01-08,114.2,116.8,114.0,116.4,,82884.0,9602366.0,,,
2020-01-07,114.4,116.9,114.3,114.9,,98974.0,11431904.0,,,
2020-01-06,112.0,114.3,111.7,114.0,,95697.0,10844169.0,,,
2020-01-03,112.8,113.4,112.0,113.4,,82304.0,9289987.0,,,
2020-01-02,114.0,114.9,112.7,113.8,,143464.0,16291666.0,,,
2019-12-30,116.4,116.5,113.7,113.7,,60915.0,6979033.0,,,
2019-12-27,116.0,116.3,115.0,116.3,,62154.0,7208475.5,,,
2019-12-23,115.0,116.2,114.6,114.9,,66229.0,7626266.1,,,
2019-12-20,115.9,116.7,114.4,114.6,,185866.0,21368077.0,,,
2019-12-19,115.8,116.2,114.9,115.6,,124269.0,14364060.2,,,
2019-12-18,115.4,115.9,114.3,115.5,,124036.0,14308979.8,,,
2019-12-17,113.4,115.6,113.1,115.6,,198741.0,22797197.4,,,
2019-12-16,111.9,113.5,111.1,112.9,,123873.0,13933520.7,,,
2019-12-13,113.0,113.0,110.5,111.3,,115681.0,12875607.7,,,
2019-12-12,113.0,113.9,111.4,111.9,,169064.0,18990658.0,,,
2019-12-11,113.8,113.8,110.9,112.0,,149438.0,16744868.0,,,
2019-12-10,114.0,115.3,110.0,113.0,,219116.0,24654700.0,,,
2019-12-09,105.1,114.7,105.1,114.3,,405833.0,45488588.0,,,
2019-12-06,106.6,106.6,99.6,103.1,,561633.0,57520904.0,,,
2019-12-05,110.1,110.3,109.2,110.1,,69911.0,7687537.5,,,
2019-12-04,108.6,110.4,108.5,109.6,,91446.0,10015437.0,,,
2019-12-03,107.7,110.1,107.3,108.9,,130237.0,14162319.0,,,
2019-12-02,111.0,111.4,107.2,107.6,,144610.0,15685797.0,,,
2019-11-29,108.2,112.7,108.1,111.0,,168617.0,18731904.0,,,
2019-11-28,109.1,109.1,107.5,108.1,,44677.0,4827719.0,,,
2019-11-27,109.9,110.0,108.0,108.6,,80332.0,8731068.0,,,
2019-11-26,108.6,110.0,107.5,109.5,,280313.0,30604384.0,,,
2019-11-25,107.4,109.1,106.4,108.1,,101435.0,10965700.0,,,
2019-11-22,106.1,107.1,105.9,106.6,,116214.0,12391521.0,,,
2019-11-21,105.5,106.9,104.6,106.0,,135671.0,14383910.0,,,
2019-11-20,104.5,107.4,104.2,106.0,,148853.0,15777142.0,,,
2019-11-19,104.9,105.3,103.9,104.5,,86228.0,9006823.0,,,
2019-11-18,104.0,105.5,103.8,104.8,,100901.0,10565891.0,,,
2019-11-15,102.0,104.1,101.9,104.0,,102061.0,10555093.0,,,
2019-11-14,102.6,102.9,100.4,101.6,,89727.0,9123501.0,,,
2019-11-13,100.4,102.3,100.4,102.3,,106648.0,10854356.0,,,
2019-11-12,101.1,102.0,98.9,101.0,,128193.0,12877095.0,,,
2019-11-11,102.1,103.8,100.6,100.8,,95512.0,9684446.0,,,
2019-11-08,101.8,102.8,100.2,101.8,,127304.0,12917154.0,,,
2019-11-07,103.7,104.1,101.2,102.2,,145112.0,14855882.0,,,
2019-11-06,100.5,103.2,99.4,103.2,,132904.0,13585029.0,,,
2019-11-05,99.65,100.7,98.4,100.3,,138382.0,13834720.0,,,
2019-11-04,98.95,100.2,97.1,99.35,,140821.0,13931740.0,,,
2019-11-01,98.5,99.65,98.15,98.65,,84471.0,8332533.0,,,
2019-10-31,98.05,99.15,97.75,97.75,,105779.0,10379837.0,,,
2019-10-30,96.45,98.85,96.0,98.05,,101101.0,9910827.0,,,
2019-10-29,95.5,96.55,94.45,96.1,,113338.0,10820482.0,,,
2019-10-28,97.7,97.95,95.35,95.85,,113497.0,10914759.0,,,
2019-10-25,96.1,97.55,95.4,97.0,,155040.0,14968588.0,,,
2019-10-24,94.15,96.4,92.8,96.0,,275194.0,26191594.0,,,
2019-10-23,100.4,100.8,89.35,92.55,,605001.0,56532324.0,,,
2019-10-22,101.7,102.7,99.9,101.5,,90905.0,9234451.0,,,
2019-10-21,103.7,104.1,100.7,101.4,,108567.0,11048451.0,,,
2019-10-18,103.9,104.7,103.2,103.7,,73189.0,7598035.5,,,
2019-10-17,103.2,104.5,102.9,103.8,,115138.0,11944767.0,,,
2019-10-16,104.1,104.7,101.4,103.2,,116588.0,12026270.0,,,
2019-10-15,104.0,104.8,102.8,103.9,,79933.0,8308760.5,,,
2019-10-14,102.4,103.3,101.1,103.2,,83291.0,8556893.0,,,
2019-10-11,103.0,103.7,101.1,102.4,,124625.0,12751459.0,,,
2019-10-10,107.0,107.0,101.9,102.5,,204279.0,21027192.0,,,
2019-10-09,106.3,107.7,105.5,107.0,,94098.0,10050758.0,,,
2019-10-08,109.5,109.9,106.3,106.5,,97553.0,10483011.0,,,
2019-10-07,108.5,110.3,107.5,108.8,,97154.0,10561664.0,,,
2019-10-04,105.0,109.5,104.4,108.2,,198283.0,21355196.0,,,
2019-10-02,104.9,111.5,103.7,105.6,,342563.0,36835516.0,,,
2019-10-01,105.3,105.9,103.8,104.8,,132282.0,13861037.0,,,
2019-09-30,104.2,105.1,102.7,104.6,,92395.0,9628660.0,,,
2019-09-27,103.7,104.0,102.5,103.5,,74036.0,7656140.5,,,
2019-09-26,102.3,104.3,101.5,103.8,,78159.0,8096350.5,,,
2019-09-25,104.0,104.2,100.1,101.5,,169893.0,17234866.0,,,
2019-09-24,103.6,105.2,103.6,105.0,,61623.0,6452339.0,,,
2019-09-23,103.1,105.1,102.8,103.8,,69848.0,7263194.5,,,
2019-09-20,104.9,105.0,101.8,103.3,,198709.0,20505680.0,,,
2019-09-19,102.7,104.8,102.1,104.5,,125080.0,13001448.0,,,
